Site      Inst    Year   MM   DD Jday   hh   mm        #     Conc      LWC     Rain      dBZ       Dm     DMax  Sigma_M    Wx_Code4677
UW       apu30    2015    3   28   87    3   22  145.00000  158.38760    0.07721    1.24656   28.04093    1.44828    2.44600    0.29290   63
UW       apu30    2015    3   28   87    3   23  152.00000  170.96359    0.07323    1.17165   28.66494    1.43921    2.83200    0.46427   63
UW       apu30    2015    3   28   87    3   24  141.00000  164.81406    0.05539    0.79125   24.24436    1.21741    1.93100    0.19277   63
UW       apu30    2015    3   28   87    3   25  128.00000  146.09019    0.05358    0.79035   25.07697    1.27276    2.18900    0.26854   63
UW       apu30    2015    3   28   87    3   26  170.00000  198.77000    0.06237    0.83901   23.71589    1.13563    1.93100    0.14752   63
UW       apu30    2015    3   28   87    3   27  168.00000  203.34866    0.05502    0.76754   23.66741    1.13981    2.18900    0.20219   63
UW       apu30    2015    3   28   87    3   28  176.00000  224.57585    0.05685    0.77933   23.94533    1.15520    2.18900    0.20376   63
UW       apu30    2015    3   28   87    3   29  130.00000  156.38142    0.03721    0.47700   20.92681    1.02308    2.18900    0.18519   63
UW       apu30    2015    3   28   87    3   30  168.00000  199.38593    0.04916    0.61263   21.23464    1.00609    1.67400    0.12391   63
UW       apu30    2015    3   28   87    3   31  157.00000  206.58978    0.03794    0.43600   18.52855    0.90468    1.41600    0.08662   63
UW       apu30    2015    3   28   87    3   32  149.00000  177.40320    0.05662    0.91020   27.92162    1.41123    2.83200    0.59834   63
UW       apu30    2015    3   28   87    3   33  166.00000  200.18839    0.05561    0.75464   23.53535    1.14022    1.93100    0.18253   63
UW       apu30    2015    3   28   87    3   34  208.00000  245.53333    0.08633    1.39235   28.83374    1.39987    2.44600    0.41953   63
UW       apu30    2015    3   28   87    3   35  340.00000  361.62411    0.19420    3.32333   33.46053    1.54143    3.34700    0.44666   65
UW       apu30    2015    3   28   87    3   36  301.00000  335.72775    0.10480    1.41586   25.93342    1.10781    2.18900    0.16444   63
